AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,PROVINCIA,PAIS,TIPO MAQUINA,FUENTE GENERACION,TECNOLOGIA,CATEGORIA HIDRAULICA,CATEGORIA REGION,GENERACION NETA
2021,1/8/2021,CGOMDI04,CGOM,CTCGOMEG,CT CAÑADA DE GOMEZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"2.406,4"
2021,1/8/2021,OCAMDI02,OCAM,CTVOCAMG,CT VILLA OCAMPO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"54,1"
2021,1/8/2021,OCAMDI03,OCAM,CTVOCAMG,CT VILLA OCAMPO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"59,5"
2021,1/8/2021,OCAMDI04,OCAM,CTVOCAMG,CT VILLA OCAMPO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"59,0"
2021,1/8/2021,OCAMDI05,OCAM,CTVOCAMG,CT VILLA OCAMPO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"58,0"
2021,1/8/2021,PERZDI02,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.221,8"
2021,1/8/2021,PERZDI03,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.237,9"
2021,1/8/2021,PERZDI04,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.249,6"
2021,1/8/2021,PERZDI05,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.212,2"
2021,1/8/2021,PERZDI06,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.246,7"
2021,1/8/2021,PERZDI07,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.253,0"
2021,1/8/2021,PERZDI08,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.122,1"
2021,1/8/2021,ANCHDI01,ANCH,CTANCHOG,CT ANCHORIS - METHAX,CUYO,MENDOZA,Argentina,MOTOR DIESEL,Térmica,DI,,Cuyo,"2.168,8"
2021,1/8/2021,INDETG03,IND1,CTINDEPG,CT INDEPEND. ETAPA1 G MEDITERR,NOROESTE,TUCUMAN,Argentina,TURBO GAS,Térmica,TG,,Noa,"0,0"
2021,1/8/2021,BRC1DI01,BRC1,CBIORC1G,CENTRAL BIOELECTRICA R.CUARTO1,CENTRO,CORDOBA,Argentina,BIOGAS,Renovable,BIOG,,Centro,"1.440,8"
